Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,MonthlyRate,PercentSalaryHike,PerformanceRating,WorkLifeBalance,YearsAtCompany
58,No,Travel_Rarely,Sales,10,Master,Medical,131,Very High,Male,High,Senior,Sales Executive,High,13872,24409,13,Normal,Good,37
44,No,Non-Travel,Research & Development,23,Bachelor,Medical,132,Medium,Male,High,Junior,Laboratory Technician,Medium,2042,25043,12,Normal,Best,3
37,Yes,Travel_Rarely,Human Resources,6,Master,Human Resources,133,High,Male,High,Entry,Human Resources,Low,2073,23648,22,Excellent,Better,3
32,No,Travel_Rarely,Research & Development,1,Below College,Life Sciences,134,Very High,Male,High,Entry,Research Scientist,Low,2956,15178,13,Normal,Better,1
20,Yes,Travel_Frequently,Research & Development,6,Bachelor,Life Sciences,137,Very High,Female,Medium,Entry,Laboratory Technician,Very High,2926,19783,18,Normal,Better,1
34,No,Travel_Rarely,Research & Development,6,Master,Other,138,Low,Female,High,Junior,Research Scientist,High,4809,12482,14,Normal,Better,16
37,No,Non-Travel,Research & Development,2,College,Life Sciences,139,High,Male,Medium,Junior,Healthcare Representative,Very High,5163,15850,14,Normal,Best,1
59,No,Non-Travel,Human Resources,2,Master,Human Resources,140,High,Female,Medium,Executive,Manager,Very High,18844,21922,21,Excellent,Better,3
50,No,Travel_Frequently,Research & Development,1,Bachelor,Life Sciences,141,Low,Female,High,Executive,Research Director,Medium,18172,9755,19,Normal,Good,8
25,Yes,Travel_Rarely,Sales,5,Bachelor,Marketing,142,High,Male,Medium,Junior,Sales Executive,High,5744,26959,11,Normal,Better,6
25,No,Travel_Rarely,Research & Development,7,Below College,Medical,143,Very High,Male,Medium,Entry,Research Scientist,Very High,2889,26897,11,Normal,Better,2
22,No,Travel_Rarely,Research & Development,15,Bachelor,Medical,144,Medium,Female,High,Entry,Laboratory Technician,Very High,2871,23785,15,Normal,Better,0
51,No,Travel_Frequently,Research & Development,1,Master,Medical,145,Low,Female,Medium,Mid,Healthcare Representative,Low,7484,25796,20,Excellent,Good,13
34,Yes,Travel_Frequently,Research & Development,7,Bachelor,Life Sciences,147,Low,Male,Low,Junior,Laboratory Technician,High,6074,22887,24,Excellent,Better,9
54,No,Non-Travel,Human Resources,26,Bachelor,Human Resources,148,Very High,Female,Very High,Senior,Manager,Very High,17328,13871,12,Normal,Better,5
24,No,Travel_Rarely,Research & Development,18,Below College,Life Sciences,150,Medium,Male,High,Entry,Laboratory Technician,High,2774,13257,12,Normal,Better,5
34,No,Travel_Rarely,Research & Development,6,Master,Life Sciences,151,High,Female,Medium,Junior,Research Scientist,Medium,4505,15000,15,Normal,Better,1
37,No,Travel_Rarely,Sales,3,Bachelor,Life Sciences,152,High,Male,High,Mid,Sales Executive,Very High,7428,14506,12,Normal,Better,5
34,No,Travel_Rarely,Research & Development,5,Bachelor,Medical,153,High,Female,Medium,Mid,Manager,Low,11631,5615,12,Normal,Better,11
36,No,Travel_Frequently,Sales,11,College,Technical Degree,154,Medium,Female,High,Mid,Sales Executive,Very High,9738,22952,14,Normal,Better,9
36,No,Travel_Rarely,Research & Development,3,College,Life Sciences,155,Low,Female,High,Entry,Laboratory Technician,Very High,2835,2561,22,Excellent,Better,1
43,No,Travel_Frequently,Sales,26,College,Life Sciences,158,High,Male,High,Senior,Manager,Very High,16959,19494,12,Normal,Best,25
30,No,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,159,Low,Male,Low,Entry,Research Scientist,High,2613,22310,25,Excellent,Good,10
33,No,Non-Travel,Sales,22,College,Marketing,160,High,Male,High,Junior,Sales Executive,Medium,6146,15480,13,Normal,Best,7
56,Yes,Travel_Rarely,Research & Development,14,Master,Life Sciences,161,Medium,Female,High,Entry,Research Scientist,Medium,4963,4510,18,Normal,Better,5
51,No,Travel_Rarely,Research & Development,6,Bachelor,Life Sciences,162,Low,Male,High,Executive,Research Director,High,19537,6462,13,Normal,Better,20
31,Yes,Travel_Rarely,Sales,6,Master,Life Sciences,163,Medium,Male,Low,Junior,Sales Executive,High,6172,20739,18,Normal,Good,7
26,No,Travel_Rarely,Research & Development,6,Bachelor,Other,164,High,Female,Medium,Entry,Research Scientist,Medium,2368,23300,19,Normal,Good,5
58,Yes,Travel_Rarely,Research & Development,23,Master,Medical,165,Very High,Female,High,Mid,Healthcare Representative,Very High,10312,3465,12,Normal,Good,40
19,Yes,Travel_Rarely,Sales,22,Below College,Marketing,167,Very High,Male,High,Entry,Sales Representative,High,1675,26820,19,Normal,Good,0
22,No,Travel_Rarely,Research & Development,2,Below College,Technical Degree,169,High,Male,High,Entry,Laboratory Technician,Very High,2523,19299,14,Normal,Better,2
49,No,Travel_Rarely,Research & Development,20,Master,Medical,170,High,Female,High,Junior,Manufacturing Director,Low,6567,5549,14,Normal,Good,15
43,No,Travel_Frequently,Research & Development,28,Bachelor,Medical,171,Medium,Female,Very High,Entry,Research Scientist,High,4739,16090,12,Normal,Better,3
50,No,Travel_Frequently,Sales,12,Bachelor,Marketing,174,High,Female,High,Mid,Sales Executive,Very High,9208,6645,11,Normal,Better,2
31,Yes,Travel_Rarely,Sales,20,Bachelor,Life Sciences,175,Medium,Female,Low,Junior,Sales Executive,High,4559,24788,11,Normal,Better,2
41,No,Travel_Rarely,Sales,9,Below College,Life Sciences,176,High,Male,High,Mid,Sales Executive,High,8189,21196,13,Normal,Better,9
26,No,Travel_Rarely,Human Resources,25,Below College,Life Sciences,177,High,Female,High,Entry,Human Resources,High,2942,8916,23,Excellent,Better,8
36,No,Travel_Rarely,Research & Development,6,College,Medical,178,Medium,Male,High,Junior,Manufacturing Director,Medium,4941,2819,20,Excellent,Better,3
51,Yes,Travel_Frequently,Research & Development,8,Master,Life Sciences,179,Low,Male,Low,Mid,Manufacturing Director,Very High,10650,25150,15,Normal,Better,4
39,No,Travel_Rarely,Sales,4,Master,Life Sciences,182,Very High,Female,Medium,Junior,Sales Executive,High,5902,14590,14,Normal,Best,15
25,No,Travel_Rarely,Sales,28,Bachelor,Life Sciences,183,Low,Male,Medium,Junior,Sales Executive,High,8639,24835,18,Normal,Better,2
30,No,Travel_Rarely,Human Resources,9,Bachelor,Human Resources,184,High,Male,High,Junior,Human Resources,Very High,6347,13982,19,Normal,Bad,11
32,Yes,Travel_Rarely,Research & Development,9,Bachelor,Medical,190,Low,Female,High,Entry,Laboratory Technician,Low,4200,10224,22,Excellent,Best,5
45,No,Travel_Rarely,Research & Development,29,Bachelor,Medical,192,High,Male,High,Entry,Research Scientist,Very High,3452,9752,13,Normal,Good,6
38,No,Travel_Rarely,Research & Development,3,Doctor,Technical Degree,193,Very High,Female,High,Junior,Research Scientist,High,4317,2302,20,Excellent,Better,3
30,No,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,194,Low,Female,High,Entry,Research Scientist,High,2632,23910,14,Normal,Good,5
32,No,Travel_Frequently,Sales,9,College,Medical,195,Very High,Male,Low,Junior,Sales Executive,Very High,4668,22812,17,Normal,Best,8
30,No,Travel_Rarely,Research & Development,5,Bachelor,Technical Degree,197,Very High,Female,High,Entry,Research Scientist,Low,3204,10415,14,Normal,Better,3
30,No,Travel_Rarely,Research & Development,2,Below College,Medical,198,Medium,Male,Medium,Entry,Laboratory Technician,Very High,2720,11162,13,Normal,Better,5
41,No,Travel_Frequently,Research & Development,10,Bachelor,Life Sciences,199,Very High,Male,Medium,Senior,Manager,Low,17181,12888,13,Normal,Good,7
41,No,Travel_Rarely,Research & Development,9,Master,Life Sciences,200,High,Male,High,Entry,Laboratory Technician,Low,2238,6961,21,Excellent,Better,5
19,No,Travel_Rarely,Research & Development,3,Below College,Medical,201,Medium,Female,High,Entry,Laboratory Technician,Medium,1483,16102,14,Normal,Better,1
40,No,Travel_Frequently,Research & Development,26,Bachelor,Medical,202,Medium,Female,High,Junior,Research Scientist,Medium,5605,8504,11,Normal,Better,20
35,No,Travel_Rarely,Sales,1,Doctor,Marketing,204,High,Male,High,Mid,Sales Executive,Medium,7295,11439,13,Normal,Better,10
53,No,Travel_Rarely,Sales,6,College,Marketing,205,Medium,Male,High,Junior,Sales Representative,High,2306,16047,20,Excellent,Bad,7
45,No,Travel_Rarely,Research & Development,9,Bachelor,Life Sciences,206,Medium,Male,High,Junior,Laboratory Technician,Medium,2348,10901,18,Normal,Bad,17
32,No,Travel_Frequently,Sales,8,Bachelor,Marketing,207,Medium,Female,High,Mid,Sales Executive,Very High,8998,15589,14,Normal,Better,9
29,No,Non-Travel,Research & Development,1,Below College,Technical Degree,208,Very High,Male,High,Junior,Manufacturing Director,High,4319,26283,13,Normal,Better,10
51,No,Travel_Rarely,Research & Development,7,Master,Medical,211,Medium,Male,Medium,Junior,Manufacturing Director,High,6132,13983,17,Normal,Better,1
58,No,Travel_Rarely,Research & Development,9,Bachelor,Medical,214,Medium,Female,Medium,Entry,Research Scientist,Medium,3346,11873,20,Excellent,Good,1
40,No,Travel_Rarely,Sales,4,Master,Marketing,215,High,Male,Medium,Mid,Sales Executive,Very High,10855,8552,11,Normal,Good,12
34,No,Travel_Frequently,Sales,2,Master,Marketing,216,High,Female,High,Entry,Sales Representative,High,2231,11314,18,Normal,Better,4
22,No,Travel_Rarely,Research & Development,19,Below College,Medical,217,High,Male,High,Entry,Research Scientist,Very High,2323,11992,24,Excellent,Better,2
27,No,Non-Travel,Research & Development,9,Bachelor,Medical,218,Very High,Male,High,Entry,Research Scientist,Medium,2024,5970,18,Normal,Bad,2
28,No,Travel_Rarely,Research & Development,21,Bachelor,Medical,221,High,Male,High,Entry,Research Scientist,Very High,2713,6672,11,Normal,Bad,5
57,No,Travel_Rarely,Research & Development,24,College,Life Sciences,223,High,Male,Very High,Mid,Healthcare Representative,Very High,9439,23402,16,Normal,Bad,5
27,No,Non-Travel,Research & Development,3,Bachelor,Medical,224,High,Male,Medium,Entry,Research Scientist,High,2566,25326,15,Normal,Good,1
50,No,Travel_Rarely,Research & Development,11,Bachelor,Life Sciences,226,High,Female,High,Executive,Manager,Medium,19926,17053,15,Normal,Better,5
41,No,Travel_Rarely,Research & Development,14,Bachelor,Life Sciences,227,Low,Male,High,Entry,Research Scientist,High,2451,4609,12,Normal,Better,9
30,No,Travel_Rarely,Sales,5,Bachelor,Life Sciences,228,Medium,Female,High,Mid,Sales Executive,Very High,9419,8053,12,Normal,Better,10
38,No,Travel_Rarely,Sales,1,Master,Life Sciences,230,Low,Female,Medium,Junior,Sales Executive,Very High,8686,12930,22,Excellent,Best,8
32,No,Travel_Rarely,Research & Development,6,Doctor,Life Sciences,231,High,Male,High,Entry,Research Scientist,High,3038,12430,20,Excellent,Better,5
27,No,Travel_Rarely,Research & Development,17,Bachelor,Technical Degree,233,High,Male,High,Entry,Research Scientist,Medium,3058,13364,16,Normal,Good,5
19,Yes,Travel_Frequently,Sales,1,Below College,Technical Degree,235,High,Female,Low,Entry,Sales Representative,Low,2325,20989,21,Excellent,Best,0
36,No,Travel_Frequently,Research & Development,3,College,Medical,238,Very High,Male,High,Entry,Laboratory Technician,Medium,2088,15062,12,Normal,Good,8
30,No,Non-Travel,Research & Development,9,Bachelor,Medical,239,High,Male,High,Junior,Laboratory Technician,Low,3072,11012,11,Normal,Better,12
45,No,Travel_Rarely,Sales,4,College,Life Sciences,240,High,Female,High,Junior,Sales Executive,Low,5006,6319,11,Normal,Best,5
56,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,241,High,Female,High,Entry,Research Scientist,Low,4257,13939,18,Normal,Better,2
33,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,242,High,Male,High,Entry,Research Scientist,Very High,2500,10515,14,Normal,Best,3
19,Yes,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,243,Medium,Male,Medium,Entry,Laboratory Technician,Very High,1102,9241,22,Excellent,Good,1
46,No,Travel_Rarely,Sales,1,College,Marketing,244,Medium,Female,High,Mid,Sales Executive,Low,10453,2137,25,Excellent,Better,24
38,No,Travel_Rarely,Research & Development,9,College,Life Sciences,245,High,Female,High,Entry,Laboratory Technician,Very High,2288,6319,12,Normal,Better,2
31,No,Travel_Rarely,Research & Development,12,Below College,Medical,246,High,Female,High,Entry,Research Scientist,Very High,3929,6984,23,Excellent,Better,4
34,No,Travel_Rarely,Research & Development,27,College,Medical,247,Very High,Female,High,Entry,Research Scientist,Medium,2311,5711,15,Normal,Better,3
41,Yes,Travel_Rarely,Sales,20,College,Marketing,248,Medium,Female,High,Entry,Sales Representative,Medium,3140,21728,22,Excellent,Good,4
50,No,Travel_Rarely,Research & Development,1,Bachelor,Medical,249,High,Male,Medium,Entry,Laboratory Technician,High,3690,3425,15,Normal,Good,3
53,No,Travel_Rarely,Research & Development,13,College,Medical,250,Very High,Female,Very High,Junior,Manufacturing Director,Low,4450,26250,11,Normal,Better,4
33,No,Travel_Rarely,Research & Development,14,Bachelor,Medical,252,Very High,Female,High,Entry,Research Scientist,Medium,2756,4673,13,Normal,Better,8
40,No,Travel_Rarely,Research & Development,4,Below College,Medical,253,Very High,Female,High,Executive,Manager,High,19033,6499,14,Normal,Better,20
